"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000871","보인중학교","03","사립","Y","2020학년도 학생 건강체력평가 실시를 생략한 학교는 2021 공시 대상 항목에서 제외 지침","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000872","상일중학교","03","사립","N","","1학년","여자","","7.03","","17.3","","","","34.3","10.9","","20.6","","16","13","54","43.9","44","35.8","7","5.7","2","1.6","123"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000872","상일중학교","03","사립","N","","2학년","여자","","7.16","","19.3","","","","35","9.9","","21","","8","12.5","32","50","20","31.3","4","6.3","0","0","64"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000872","상일중학교","03","사립","N","","3학년","여자","","7.52","","17.2","","","30","31.8","10.9","","21.1","","4","6.3","25","39.1","28","43.8","6","9.4","1","1.6","64"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000873","석촌중학교","03","공립","Y","코로나19로 2020학년도 학생체력평가 실시는 생략함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000874","성내중학교","03","공립","Y","코로나19로 PAPS 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000875","성덕여자중학교","03","사립","Y","2020학년도 PAPS 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000876","세륜중학교","03","공립","Y","2020학년도 미운영","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000877","송파중학교","03","공립","Y","시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000878","신명중학교","03","공립","N","","1학년","남자","42.2","0.00","","8.5","","","","30.4","","174","23.1","","7","7.1","30","30.3","46","46.5","13","13.1","3","3","99"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000878","신명중학교","03","공립","N","","1학년","여자","28.5","0.00","","14","","","","24","","147","21.2","","1",".9","47","43.9","53","49.5","5","4.7","1",".9","107"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000878","신명중학교","03","공립","N","","2학년","남자","48.4","0.00","","11.4","","","79.5","","","190.7","24.7","","11","12.5","32","36.4","31","35.2","14","15.9","0","0","88"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000878","신명중학교","03","공립","N","","2학년","여자","30.6","0.00","","18.5","","","42.1","","","150.4","21.6","","3","3.3","51","56.7","34","37.8","2","2.2","0","0","90"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000878","신명중학교","03","공립","N","","3학년","남자","51.7","0.00","","10.5","","","","39.8","","190.3","23.2","","3","3.4","31","34.8","40","44.9","15","16.9","0","0","89"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000878","신명중학교","03","공립","N","","3학년","여자","33.6","0.00","","14.5","","","","24.7","","150.4","22.3","","0","0","42","48.3","39","44.8","6","6.9","0","0","87"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000879","신암중학교","03","공립","Y","작년에 PAPS 미실시함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000880","신천중학교","03","공립","Y","코로나19로 인하여 해당사항 없음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000881","아주중학교","03","공립","Y","코로나19로 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000882","영파여자중학교","03","사립","N","","1학년","여자","32.6","0.00","","12.2","","","","22.1","9.3","","20.4","","4","4","61","60.4","34","33.7","2","2","0","0","101"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000882","영파여자중학교","03","사립","N","","2학년","여자","37.4","0.00","","16","","","","22.8","9.8","","20.6","","4","3.7","70","64.8","32","29.6","2","1.9","0","0","108"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000882","영파여자중학교","03","사립","N","","3학년","여자","38.9","0.00","","14","","","","24.5","9.2","","21.7","","7","6.7","56","53.3","37","35.2","5","4.8","0","0","105"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000883","오금중학교","03","공립","Y","작년에 코로나 19로 인해 팝스 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000884","오륜중학교","03","공립","Y","2020학년도 학생 건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000885","오주중학교","03","공립","Y","코로나19로 인한 PAPS 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000886","일신여자중학교","03","사립","Y","감염병 상황등을 고려하여 건강 체력 평가 실시를 생략함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000887","잠신중학교","03","공립","Y","코로나19로  미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000888","잠실중학교","03","공립","Y","2020년 PAPS 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
